name	importance	std
Gaius_Musonius_Rufus	0.03800189162055148	0.02286767390567892
Insanity_defense	0.02131905627213499	0.012390509222601357
codex	0.020520333658055986	0.01662449711793241
Kepler's_laws_of_planetary_motion	0.01886088135642655	0.02155550242526068
analytical_jurisprudence	0.012896932651877729	0.01034235948594901
provocation_(legal)	0.010722537903740599	0.008009242566445383
William_K._Wimsatt	0.008593321202904068	0.013077082427356447
circular_reasoning	0.0077025115332362126	0.0034411756796104754
shunning	0.007395100580196048	0.00509618331349421
De_revolutionibus_orbium_coelestium	0.007261699241084828	0.010583271187969099
Chaldean_Oracles	0.007223345704264199	0.006838360975305371
Camilo_Torres_Restrepo	0.007168327644865158	0.008348986232270202
Redistribution_of_income_and_wealth	0.006557387503337798	0.003526977283758987
Doctor_of_Nursing_Practice	0.006405288327834433	0.005602370418078134
Immanuel_Kant	0.005859748689200712	0.003205696418026866
Schema_(Kant)	0.005769115461444109	0.0021046717764570495
subject_(philosophy)	0.0057099544937229	0.003020625841537491
gestalt_therapy	0.0056815688708848145	0.005291760019947418
Alfred_Korzybski	0.005226412337378456	0.007149122787735516
third_mate	0.005110409340639096	0.0019428954589580493
substance_theory	0.005025440965523859	0.0028399178500261345
subgame_perfect_equilibrium	0.004691858074071751	0.0032926938892543487
Theory_of_forms	0.004543560611977752	0.0018349163239444232
logical_truth	0.004539597398032929	0.0035173777493980305
transmutation_of_species	0.004223280694108452	0.010396261306607965
Roland_Barthes	0.004181108637584517	0.0021424224709009013
determinism	0.004087062506282379	0.0029038667860244406
social_evolution	0.0036653885396476372	0.0028786838947468824
GAZ	0.0034234270200795523	0.004358495673625474
patriarchy	0.0033337260604702755	0.002552909878026973
Sphere_of_influence	0.0032953860961009427	0.0033796349584436186
intentional_fallacy	0.003221002649174052	0.0019495419026149812
identity_politics	0.003164369477337127	0.0017017369049657683
qualia	0.0030279600683315944	0.0020143731558294594
group_psychotherapy	0.0029417484301701323	0.002029311867879231
real_number	0.0028699937314239404	0.002902639990189769
